Bill_Number,Date,Item_Name,Item_Type,Item_Category,Color_Name,Salesman_Name,Size,Rate,Disc_Amt,Sales_Type,Final_Sales 
1746,2026-01-06,FORMAL PANT K,Formal Pant,Formal Wear,OLIVE,PRAVIN BHAI,44,1899,0,Sales,1535
1746,2026-01-06,FORMAL PANT K,Formal Pant,Formal Wear,BLUE,PRAVIN BHAI,44,1999,0,Sales,1615
1747,2026-01-06,SHORT SLEEVE COLLAR TSHIRT,Shirt,Formal Wear,OLIVE,DAIVIK,3XL,799,79,Sales,720
1747,2026-01-06,COTTON HANKIES,Hankies,Accessories,-,DAIVIK,0,360,0,Sales,360
1747,2026-01-06,SOCKS PK,Socks,Accessories,-,DAIVIK,0,129,0,Sales,129
1747,2026-01-06,COTTON HANKIES,Hankies,Accessories,-,DAIVIK,0,50,0,Sales,50
1747,2026-01-06,COTTON HANKIES,Hankies,Accessories,-,DAIVIK,0,50,0,Sales,50
1748,2026-01-06,KURTA SUIT SG,Kurta Set,Ethnic Wear,WINE,SACHIN BHAI,44,2290,0,Sales,2290
1749,2026-01-07,KOTI SUIT ARS,Koti,Ethnic Wear,BLUE,PRAVIN BHAI,10,3690,0,Sales,3690
1750,2026-01-07,SHORT KURTA,Short Kurta,Ethnic Wear,N.BU-PT(108),DAIVIK,44,895,0,Sales,895
1750,2026-01-07,SHORT KURTA,Short Kurta,Ethnic Wear,N.BU-GR(110),DAIVIK,42,895,0,Sales,895
1751,2026-01-07,JODHPURI,Jodhpuri,Ethnic Wear, ,DAIVIK, ,6500,0,Sales,6500
1751,2026-01-07,KURTA,Kurta,Ethnic Wear, ,DAIVIK, ,2000,0,Sales,2000
1752,2026-01-07,KURTA SUIT SC,Kurta Set,Ethnic Wear,RED        ,PRAVIN BHAI,42,2390,0,Sales,2278
1752,2026-01-07,KURTA SUIT VR,Kurta Set,Ethnic Wear,R GREEN,PRAVIN BHAI,40,1799,0,Sales,1715
1752,2026-01-07,KOTI,Koti,Ethnic Wear, ,PRAVIN BHAI, ,2190,0,Sales,2087
1753,2026-01-07,JOCKEY SPORTS MENS,Track Pant,Lounge Wear,ASSTD,DEEPAK AHUJA,L,949,94,Sales,851
1753,2026-01-07,JOCKEY SPORTS MENS,Track Pant,Lounge Wear, ,DEEPAK AHUJA, ,149,0,Sales,149
1754,2026-01-07,DHOTTI CFU,Dhoti,Ethnic Wear,CREAM,PRAVIN BHAI,40,750,0,Sales,713
1754,2026-01-07,A KURTA SUIT,Kurta Set,Ethnic Wear,J,PRAVIN BHAI,38,1499,0,Sales,1425
1754,2026-01-07,A KURTA SUIT,Kurta Set,Ethnic Wear,B,PRAVIN BHAI,40,1599,0,Sales,1520
1754,2026-01-07,KURTA SUIT S,Kurta Set,Ethnic Wear,MULTICOLOUR,PRAVIN BHAI,36,1290,0,Sales,1226
1754,2026-01-07,FABRIC,Fabric,Fabric, ,PRAVIN BHAI, ,250,0,Sales,1188
1754,2026-01-07,DHOTTI,Dhoti,Ethnic Wear, ,PRAVIN BHAI, ,650,0,Sales,618
1755,2026-01-07,KURTA SUIT A,Kurta Set,Ethnic Wear,I,PRAVIN BHAI,42,1699,0,Sales,1699
1755,2026-01-07,VAN HEUSEN UNDERSGARMENTS,Under Garment,Lounge Wear,WHITE,PRAVIN BHAI,M,558,0,Sales,558
1756,2026-01-08,KIDS KURTA,Kids Kurta,Kids Wear,WHITE,SACHIN BHAI,8,790,0,Sales,790
1756,2026-01-08,KIDS KURTA,Kids Kurta,Kids Wear,WHITE,SACHIN BHAI,10,740,0,Sales,740
1756,2026-01-08,CHURRIDAR,Churidar,Ethnic Wear, ,SACHIN BHAI, ,300,0,Sales,300
1757,2026-01-08,DHOTTI,Dhoti,Ethnic Wear, ,PRAVIN BHAI, ,650,0,Sales,650
1758,2026-01-08,JOCKEY UNDERGARMENTS,Under Garment,Lounge Wear,ASSTD,SACHIN BHAI,L,329,39,Sales,290
1759,2026-01-08,J SOCKS,Socks,Accessories, ,DAIVIK,FS,449,0,Sales,449
1760,2026-01-08,AEROMEN FORMAL SHIRT,Shirt,Formal Wear, ,SACHIN BHAI,L,2499,0,Sales,2499
1761,2026-01-08,KURTA SUIT SC,Kurta Set,Ethnic Wear,CREAM,PRAVIN BHAI,34,2290,0,Sales,2290
1762,2026-01-08,COTTON HANKIES,Hankies,Accessories,-,SACHIN BHAI,0,240,0,Sales,240
1762,2026-01-08,LONG JOHN,Cord-Set,Casual Wear,BLACK,SACHIN BHAI,L,1589,289,Sales,1300
1762,2026-01-08,LONG SLEEVE VEST,Vest,Lounge Wear,BLACK,SACHIN BHAI,L,1589,289,Sales,1300
1763,2026-01-08,A KURTA SUIT,Kurta Set,Ethnic Wear,C,DEEPAK AHUJA,46,2199,0,Sales,1984
1763,2026-01-08,KOTI,Koti,Ethnic Wear,MARRON,DEEPAK AHUJA,44,2290,0,Sales,2066
1764,2026-01-09,POLO PENT CFU,Polo Pant,Ethnic Wear, ,PRAVIN BHAI,M,890,0,Sales,890
1764,2026-01-09,PATHANI PYJAMA,Pant Pyjama,Ethnic Wear,WHITE,PRAVIN BHAI,42,800,0,Sales,800
1764,2026-01-09,T.POLO PENT,Polo Pant,Ethnic Wear,BLACK,PRAVIN BHAI,40,1290,0,Sales,1290
1764,2026-01-09,POLO PENT,Polo Pant,Ethnic Wear, ,PRAVIN BHAI, ,690,0,Sales,690
1764,2026-01-09,PANT PAJAMA,Pant Pyjama,Ethnic Wear,BE(ER67),PRAVIN BHAI,38,799,0,Sales,799
1765,2026-01-09,KOTI SUIT  JW,Koti,Ethnic Wear,PINK,PRAVIN BHAI,42,4990,0,Sales,4990
1765,2026-01-09,A KURTA SUIT,Kurta Set,Ethnic Wear,B,PRAVIN BHAI,42,3199,0,Sales,3199
1765,2026-01-09,KURTA SUIT VR,Kurta Set,Ethnic Wear,L CREAM,PRAVIN BHAI,42,2799,0,Sales,2799
1766,2026-01-09,KURTA SUIT SE,Kurta Set,Ethnic Wear,WINE,SACHIN BHAI,38,2290,0,Sales,2290
1767,2026-01-09,A KURTA SUIT,Kurta Set,Ethnic Wear, ,PRAVIN BHAI,42,1890,0,Sales,1890
1767,2026-01-09,A KURTA SUIT,Kurta Set,Ethnic Wear,A,PRAVIN BHAI,38,2699,0,Sales,2699
1767,2026-01-09,MENS VEST COAT,Koti,Ethnic Wear,OFF WHITE,PRAVIN BHAI,38,1790,0,Sales,1790
1767,2026-01-09,KURTA SUIT S,Kurta Set,Ethnic Wear,PISTA,PRAVIN BHAI,38,3290,0,Sales,3290
1767,2026-01-09,A KURTA SUIT,Kurta Set,Ethnic Wear,A,PRAVIN BHAI,38,1899,0,Sales,1899
1767,2026-01-09,KURTA SUIT KP,Kurta Set,Ethnic Wear,2,PRAVIN BHAI,38,1795,0,Sales,1795
1767,2026-01-09,A KURTA SUIT,Kurta Set,Ethnic Wear, ,PRAVIN BHAI,38,1790,0,Sales,1790
1767,2026-01-09,KURTA SUIT SC,Kurta Set,Ethnic Wear,GREY,PRAVIN BHAI,40,5890,0,Sales,5890
1768,2026-01-10,A KURTA SUIT,Kurta Set,Ethnic Wear,MULTI COLOUR,SACHIN BHAI,44,3290,0,Sales,3290
1769,2026-01-10,KURTA SUIT S,Kurta Set,Ethnic Wear,MULTICOLOUR,SACHIN BHAI,40,2590,0,Sales,2580
1770,2026-01-10,KURTA SC,Kurta,Ethnic Wear,MAROON,PRAVIN BHAI,42,1390,0,Sales,1390
1770,2026-01-10,KURTA SC,Kurta,Ethnic Wear,MAROON,PRAVIN BHAI,36,1290,0,Sales,1290
1771,2026-01-10,KURTA SUIT A,Kurta Set,Ethnic Wear,WINE,PRAVIN BHAI,38,3590,0,Sales,3587
1771,2026-01-10,A KURTA SUIT,Kurta Set,Ethnic Wear, ,PRAVIN BHAI,38,2699,0,Sales,2697
1771,2026-01-10,KURTA SUIT VR,Kurta Set,Ethnic Wear,CREAM,PRAVIN BHAI,38,3499,0,Sales,3496
1772,2026-01-10,FORMAL PANT B,Formal Pant,Formal Wear,BLACK,PRAVIN BHAI,42,1495,0,Sales,1391
1772,2026-01-10,FORMAL PANT K,Formal Pant,Formal Wear,GREEN,PRAVIN BHAI,42,1899,0,Sales,1767
1772,2026-01-10,FORMAL PANT K,Formal Pant,Formal Wear,L GREY,PRAVIN BHAI,44,1899,0,Sales,1767
1772,2026-01-10,FORMAL PANT,Formal Pant,Formal Wear,CEMENT,PRAVIN BHAI,42,1799,0,Sales,1674
1773,2026-01-10,POLO PENT CFU,Polo Pant,Ethnic Wear,CREAM,SACHIN BHAI,48,790,0,Sales,790
1774,2026-01-10,SHORT COMBO SET,Cord-Set,Casual Wear, ,PRAVIN BHAI,M,899,0,Sales,896
1774,2026-01-10,SHORT COMBO SET,Cord-Set,Casual Wear, ,PRAVIN BHAI,M,999,0,Sales,999
1774,2026-01-10,JOCKEY SPORTS MENS,Track Pant,Lounge Wear,NAVY,PRAVIN BHAI,M,1699,0,Sales,1699
1774,2026-01-10,JOCKEY SPORTS MENS,Track Pant,Lounge Wear,BLACK,PRAVIN BHAI,M,1699,0,Sales,1699
1774,2026-01-10,JOCKEY SPORTS MENS,Track Pant,Lounge Wear,PFGRY,PRAVIN BHAI,M,1699,0,Sales,1699
1774,2026-01-10,SHORT SLEEVE KNEE LENGHT SET,Cord-Set,Casual Wear,DUSTY ROSE,PRAVIN BHAI,M,1699,0,Sales,1699
1774,2026-01-10,SHORT SLEEVE KNEE LENGHT SET,Cord-Set,Casual Wear,D GREY,PRAVIN BHAI,M,1699,0,Sales,1699
1775,2026-01-10,COTTON HANKIES,Hankies,Accessories,-,PRAVIN BHAI,0,-50,0,Return,-50
1776,2026-01-10,JOCKEY SPORTS MENS,Track Pant,Lounge Wear, ,SACHIN BHAI, ,539,54,Sales,485
1776,2026-01-10,JOCKEY UNDERGARMENTS,Under Garment,Lounge Wear,ASSTD,SACHIN BHAI,M,529,53,Sales,476
1776,2026-01-10,KURTA SUIT ARS,Kurta Set,Ethnic Wear,NAVY BLUE,SACHIN BHAI,8,1690,0,Sales,1690
1776,2026-01-10,JEANS,Jeans,Casual Wear,DARK BLUE,SACHIN BHAI,30,1899,0,Sales,1899
1776,2026-01-10,COTTON HANKIES,Hankies,Accessories,-,SACHIN BHAI,0,50,0,Sales,50
1776,2026-01-10,COTTON HANKIES,Hankies,Accessories,-,SACHIN BHAI,0,50,0,Sales,50
1777,2026-01-10,A KURTA SUIT,Kurta Set,Ethnic Wear,F,PRAVIN BHAI,40,1699,200,Sales,1499
1777,2026-01-10,KURTA SUIT A,Kurta Set,Ethnic Wear,E,PRAVIN BHAI,42,1599,0,Sales,1599
1777,2026-01-10,POLO PENT,Polo Pant,Ethnic Wear, ,PRAVIN BHAI, ,690,0,Sales,690
1777,2026-01-10,SHORT KURTA RY,Short Kurta,Ethnic Wear,B3,PRAVIN BHAI,M,849,0,Sales,849
1778,2026-01-10,COTTON TROUSERS AF,Trouser,Casual Wear,BLUE,SACHIN BHAI,36,1499,0,Sales,1499
1778,2026-01-10,BLAZER WITH PENT,Blazer,Formal Wear,BLACK,SACHIN BHAI,40,6590,0,Sales,6590
1779,2026-01-11,T.POLO PENT,Polo Pant,Ethnic Wear,BLACK,PRAVIN BHAI,38,1290,0,Sales,1290
1780,2026-01-11,A KURTA SUIT,Kurta Set,Ethnic Wear, ,PRAVIN BHAI,48,2599,0,Sales,2599
1780,2026-01-11,KURTA SUIT SG,Kurta Set,Ethnic Wear,YELLOW,PRAVIN BHAI,48,2290,0,Sales,2290
1780,2026-01-11,KURTA SUIT A,Kurta Set,Ethnic Wear,B,PRAVIN BHAI,50,2099,0,Sales,2099
1780,2026-01-11,KURTA SUIT,Kurta Set,Ethnic Wear,D MARUN,PRAVIN BHAI,48,2490,0,Sales,2490
1781,2026-01-11,A KURTA SUIT,Kurta Set,Ethnic Wear,A,SACHIN BHAI,40,3490,0,Sales,3490
1781,2026-01-11,SEMI INDO WESTERN VR,Semi-Indo Western,Ethnic Wear,WINE,SACHIN BHAI,40,8190,0,Sales,8190
1781,2026-01-11,KOTI SUIT,Koti,Ethnic Wear,BLACK,SACHIN BHAI,40,4490,0,Sales,4490
1781,2026-01-11,J SOCKS,Socks,Accessories,-,SACHIN BHAI,FS,169,169,Sales,0
1782,2026-01-11,KURTA SUIT VR,Kurta Set,Ethnic Wear,MEHENDI,DEEPAK AHUJA,42,-5290,0,Return,-5290
1782,2026-01-11,KURTA SUIT VR,Kurta Set,Ethnic Wear,PISTA,DEEPAK AHUJA,40,5590,0,Sales,5590
1783,2026-01-11,AEROMEN FORMAL SHIRT,Shirt,Formal Wear, ,PRAVIN BHAI,L,1250,0,Sales,1250
1783,2026-01-11,COTTON TROUSERS AF,Trouser,Casual Wear,BLUE,PRAVIN BHAI,34,1399,0,Sales,1399
1783,2026-01-11,SHORT KURTA AEZON,Short Kurta,Ethnic Wear,WHITE MULTI,PRAVIN BHAI,M,1799,0,Sales,1799
1783,2026-01-11,AEROMEN FORMAL SHIRT,Shirt,Formal Wear, ,PRAVIN BHAI,M,1250,0,Sales,1250
1783,2026-01-11,COTTON TROUSERS AF,Trouser,Casual Wear,D,PRAVIN BHAI,30,1149,0,Sales,1149
1783,2026-01-11,JEANS,Jeans,Casual Wear,LIGHT BLUE,PRAVIN BHAI,30,1999,0,Sales,1999
1784,2026-01-11,TRACKPANT,Track Pant,Lounge Wear,BLACK,DAIVIK,L,799,0,Sales,799
1785,2026-01-11,BLAZER,Blazer,Formal Wear, ,SACHIN BHAI,42,6690,0,Sales,6690
1785,2026-01-11,AEROMEN FORMAL SHIRT,Shirt,Formal Wear, ,SACHIN BHAI,XL,899,0,Sales,899
1785,2026-01-11,KURTA SUIT OE,Kurta Set,Ethnic Wear,PEACOCK,SACHIN BHAI,42,3690,0,Sales,3690
1785,2026-01-11,KURTA SUIT SC,Kurta Set,Ethnic Wear,RED        ,SACHIN BHAI,42,1690,0,Sales,1690
1785,2026-01-11,KOTI SUIT,Koti,Ethnic Wear,MAGENDA,SACHIN BHAI,42,3990,0,Sales,3990
1785,2026-01-11,FASTRACK U SOLO,Track Pant,Lounge Wear, ,SACHIN BHAI, ,895,895,Sales,0
1786,2026-01-11,KOTI,Koti,Ethnic Wear,BLACK,PRAVIN BHAI,36,2390,0,Sales,2390
1786,2026-01-11,KURTA SUIT SE,Kurta Set,Ethnic Wear,PISTA,PRAVIN BHAI,38,2290,0,Sales,2290
1787,2026-01-13,KURTA SUIT,Kurta Set,Ethnic Wear,WHITE PRINT,DEEPAK AHUJA,44,1940,200,Sales,1740
1788,2026-01-13,KOTI SUIT,Koti,Ethnic Wear,RED PICH,PRAVIN BHAI,38,4590,0,Sales,4360
1789,2026-01-13,KURTA SUIT SC,Kurta Set,Ethnic Wear,YELLOW 1,SACHIN BHAI,38,1690,0,Sales,1600
1790,2026-01-13,KURTA SUIT VR,Kurta Set,Ethnic Wear,MUSTARD,PRAVIN BHAI,42,1799,0,Sales,1799
1790,2026-01-13,A KURTA SUIT,Kurta Set,Ethnic Wear,B,PRAVIN BHAI,42,2899,0,Sales,2899
1791,2026-01-13,KURTA SUIT S,Kurta Set,Ethnic Wear,PINK,SACHIN BHAI,34,1490,0,Sales,1490
1791,2026-01-13,KIDS KURTA,Kids Kurta,Kids Wear,ROYAL BLUE,SACHIN BHAI,8,749,0,Sales,749
1791,2026-01-13,KOTI SUIT ARS,Koti,Ethnic Wear,GREY,SACHIN BHAI,10,3890,0,Sales,3890
1791,2026-01-13,KURTA S,Kurta,Ethnic Wear,DARK GREY,SACHIN BHAI,42,1040,0,Sales,1040
1791,2026-01-13,KURTA SET KYM,Kurta Set,Ethnic Wear,NATURAL,SACHIN BHAI,42,3590,200,Sales,3390
1791,2026-01-13,KURTA S,Kurta,Ethnic Wear,BROWN,SACHIN BHAI,42,1240,0,Sales,1240
1791,2026-01-13,A KURTA SUIT,Kurta Set,Ethnic Wear,D,SACHIN BHAI,42,1599,200,Sales,1399
1791,2026-01-13,A KURTA SUIT,Kurta Set,Ethnic Wear,G,SACHIN BHAI,42,1599,200,Sales,1399
1791,2026-01-13,A KURTA SUIT,Kurta Set,Ethnic Wear,E,SACHIN BHAI,42,1699,200,Sales,1499
1792,2026-01-13,KURTA SUIT SE,Kurta Set,Ethnic Wear,WINE,SACHIN BHAI,40,1990,200,Sales,1788
1792,2026-01-13,KURTA,Kurta,Ethnic Wear,NAVI BLUE,SACHIN BHAI,40,1490,0,Sales,1488
1792,2026-01-13,KURTA SUIT RT,Kurta Set,Ethnic Wear,ORANGE,SACHIN BHAI,40,1590,0,Sales,1588
1792,2026-01-13,KOTI SUIT YOG,Koti,Ethnic Wear,PINK,SACHIN BHAI,10,2540,0,Sales,2537
1793,2026-01-13,JOCKEY UNDERGARMENTS,Under Garment,Lounge Wear,BTLGY,PRAVIN BHAI,M,449,0,Sales,449
1793,2026-01-13,JOCKEY UNDERGARMENTS,Under Garment,Lounge Wear,TNAVY,PRAVIN BHAI,M,449,0,Sales,449
1793,2026-01-13,JOCKEY UNDERGARMENTS,Under Garment,Lounge Wear,TNAVY,PRAVIN BHAI,M,449,0,Sales,449
1793,2026-01-13,JOCKEY UNDERGARMENTS,Under Garment,Lounge Wear,BTLGY,PRAVIN BHAI,M,449,0,Sales,449
1794,2026-01-13,AEROMEN FORMAL SHIRT,Shirt,Formal Wear, ,PRAVIN BHAI, ,2699,0,Sales,2599
1794,2026-01-13,FORMAL PANT K,Formal Pant,Formal Wear,GREEN,PRAVIN BHAI,42,-1899,-132,Return,-1767
1794,2026-01-13,AEROMEN FORMAL SHIRT,Shirt,Formal Wear, ,PRAVIN BHAI,5XL,1499,0,Sales,1444
1794,2026-01-13,AEROMEN FORMAL SHIRT,Shirt,Formal Wear, ,PRAVIN BHAI,5XL,1570,0,Sales,1512
1794,2026-01-13,AEROMEN FORMAL SHIRT,Shirt,Formal Wear, ,PRAVIN BHAI,5XL,1570,0,Sales,1512
1795,2026-01-13,KURTA SUIT SC,Kurta Set,Ethnic Wear,BLUE,DEEPAK AHUJA,38,1990,0,Sales,1890
1795,2026-01-13,KURTA SUIT SC,Kurta Set,Ethnic Wear,YELLOW 4,DEEPAK AHUJA,40,1690,0,Sales,1605
1795,2026-01-13,KURTA SET KYM,Kurta Set,Ethnic Wear,L1,DEEPAK AHUJA,38,3490,0,Sales,3315
1795,2026-01-13,KOTI,Koti,Ethnic Wear,BLACK,DEEPAK AHUJA,38,1990,0,Sales,1890
1796,2026-01-13,PANT PAJAMA,Pant Pyjama,Ethnic Wear,BK(Z133),SACHIN BHAI,38,799,0,Sales,799
1796,2026-01-13,PATHANI PYJAMA,Pant Pyjama,Ethnic Wear, ,SACHIN BHAI, ,800,0,Sales,800
1797,2026-01-13,KIDS KURTA,Kids Kurta,Kids Wear,GREEN,SACHIN BHAI,8,690,0,Sales,618
1797,2026-01-13,KOTI SUIT,Koti,Ethnic Wear, ,SACHIN BHAI, ,3290,0,Sales,2949
1797,2026-01-13,KIDS PANT,Pant,Ethnic Wear,WHITE,SACHIN BHAI,8,260,0,Sales,233
1798,2026-01-13,JOCKEY UNDERGARMENTS,Under Garment,Lounge Wear,TNAVY,PRAVIN BHAI,M,-449,0,Return,-449
1798,2026-01-13,JOCKEY UNDERGARMENTS,Under Garment,Lounge Wear,TNAVY,DEEPAK AHUJA,M,-449,0,Return,-449
1798,2026-01-13,JOCKEY UNDERGARMENTS,Under Garment,Lounge Wear,BTLGY,DEEPAK AHUJA,M,-449,0,Return,-449
1798,2026-01-13,JOCKEY UNDERGARMENTS,Under Garment,Lounge Wear,BLACK,DEEPAK AHUJA,L,449,0,Sales,449
1798,2026-01-13,JOCKEY UNDERGARMENTS,Under Garment,Lounge Wear, ,DEEPAK AHUJA, ,449,0,Sales,449
1798,2026-01-13,JOCKEY UNDERGARMENTS,Under Garment,Lounge Wear, ,DEEPAK AHUJA, ,449,0,Sales,449
1799,2026-01-13,TRACK PANT J,Track Pant,Lounge Wear,BLUE & NAVY,DEEPAK AHUJA,L,999,100,Sales,899
1800,2026-01-13,KURTA SUIT SE,Kurta Set,Ethnic Wear,CREAM,DEEPAK AHUJA,40,1990,0,Sales,1990
1801,2026-01-13,KIDS KURTA,Kids Kurta,Kids Wear, ,SACHIN BHAI,6,640,0,Sales,640
1801,2026-01-13,KURTA S,Kurta,Ethnic Wear,WHITE MULTI,SACHIN BHAI,44,999,0,Sales,999
1802,2026-01-13,DHOTTI,Dhoti,Ethnic Wear, ,PRAVIN BHAI, ,550,0,Sales,550
1802,2026-01-13,DHOTTI,Dhoti,Ethnic Wear, ,PRAVIN BHAI, ,650,0,Sales,650
1802,2026-01-13,K. KURTA SUIT JDF,Kurta Set,Ethnic Wear,GOLD,PRAVIN BHAI,6,1290,0,Sales,1290
1802,2026-01-13,K. KURTA SUIT JDF,Kurta Set,Ethnic Wear,N .BLUE,PRAVIN BHAI,6,1290,0,Sales,1290
1802,2026-01-13,K. KURTA SUIT JDF,Kurta Set,Ethnic Wear,GOLD,PRAVIN BHAI,12,1440,0,Sales,1440
1802,2026-01-13,K. KURTA SUIT JDF,Kurta Set,Ethnic Wear,B.GREEN,PRAVIN BHAI,12,1440,0,Sales,1440
